event,pos,name,cost,points,ppm
7,16th,Esteban Ocon,8.95,82,9
7,17th,Yuki Tsunoda,7.31,69,9
7,18th,Alexander Albon,6.81,48,7
7,19th,Mick Schumacher,5.35,24,4
7,20th,Kevin Magnussen,6.17,19,3
8,1st,Max Verstappen,19.03,286,15
8,2nd,Sergio Pérez,13.27,206,16
8,3rd,Lewis Hamilton,14.65,179,12
8,4th,George Russell,12.33,166,13
8,5th,Pierre Gasly,7.84,136,17
8,6th,Sebastian Vettel,7.01,130,19
8,7th,Fernando Alonso,7.40,118,16
8,8th,Daniel Ricciardo,7.71,111,14
8,9th,Mick Schumacher,5.00,92,18
8,10th,Lando Norris,9.34,91,10
8,11th,Alexander Albon,6.50,91,14
8,12th,Valtteri Bottas,8.06,88,11
8,13th,Esteban Ocon,8.69,86,10
8,14th,Nicholas Latifi,6.05,75,12
8,15th,Charles Leclerc,13.58,71,5
8,16th,Yuki Tsunoda,7.12,70,10
8,17th,Lance Stroll,7.33,69,9
8,18th,Kevin Magnussen,5.70,31,5
8,19th,Carlos Sainz Jr.,10.45,28,3
8,20th,Guanyu Zhou,5.75,23,4
9,1st,Max Verstappen,19.56,320,16
9,2nd,Charles Leclerc,12.83,235,18
9,3rd,Carlos Sainz Jr.,9.64,225,23
9,4th,Lewis Hamilton,14.71,185,13
9,5th,George Russell,12.51,176,14
9,6th,Esteban Ocon,8.55,143,17
9,7th,Valtteri Bottas,8.00,140,18
9,8th,Fernando Alonso,7.66,130,17
9,9th,Lance Stroll,7.18,125,17
9,10th,Guanyu Zhou,5.37,122,23
9,11th,Sebastian Vettel,7.42,106,14
9,12th,Daniel Ricciardo,7.88,92,12
9,13th,Kevin Magnussen,5.39,91,17
9,14th,Nicholas Latifi,6.08,88,14
9,15th,Pierre Gasly,8.21,87,11
9,16th,Alexander Albon,6.62,84,13
9,17th,Lando Norris,9.18,80,9
9,18th,Yuki Tsunoda,7.00,47,7
9,19th,Mick Schumacher,5.28,28,5
9,20th,Sergio Pérez,13.70,7,1
10,1st,Carlos Sainz Jr.,10.31,302,29
10,2nd,Sergio Pérez,12.38,207,17
10,3rd,Lewis Hamilton,14.59,192,13
10,4th,Charles Leclerc,13.26,157,12
10,5th,Mick Schumacher,4.96,147,30
10,6th,Fernando Alonso,7.84,140,18
10,7th,Max Verstappen,19.93,132,7
10,8th,Sebastian Vettel,7.45,127,17
10,9th,Lando Norris,8.84,122,14
10,10th,Lance Stroll,7.37,115,16
10,11th,Kevin Magnussen,5.51,107,19
10,12th,Daniel Ricciardo,7.76,71,9
10,13th,Nicholas Latifi,6.11,70,11
10,14th,Yuki Tsunoda,6.64,64,10
